SampleID,SampleType,SampleSource,Host_SampleName,CollectionDate,Latitude,Longitude,Elevation,DNAExtractionProtocol,ExtractorName,SampleDescription,Project_Name,Set_ID,FireTreatment,BurnYear
FS-42N,Environmental,Soil,NonBurn_2007,2018-06-10,40.018588,-111.498315,1520,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_42N,Forest_Fire_Recovery,Set_3,NonBurn,2007
FS-115E,Environmental,Soil,Burn_2006,2018-07-14,41.48998,-111.99606,1483,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_115E,Forest_Fire_Recovery,Set_10,Burn,2006
FS-53N,Environmental,Soil,NonBurn_2012,2018-09-08,40.11798,-11.33787,1812,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_53N,Forest_Fire_Recovery,Set_4,NonBurn,2012
FS-71E,Environmental,Soil,NonBurn_2003,2018-09-29,40.2859,-111.63174,1660,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_71E,Forest_Fire_Recovery,Set_6,NonBurn,2003
FS-31W,Environmental,Soil,Burn_2007,2018-11-03,39.94178,-111.78222,1700,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_31W,Forest_Fire_Recovery,Set_2,Burn,2007
FS-73W,Environmental,Soil,NonBurn_2000,2018-11-04,40.34813,-111.55259,1653,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_73W,Forest_Fire_Recovery,Set_7,NonBurn,2000
FS-2E,Environmental,Soil,NonBurn_2015,2018-06-30,38.52704,-111.77353,2969,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_2E,Forest_Fire_Recovery,Set_1,NonBurn,2015
FS-NEG 1,Environmental,Soil,NA,NA,NA,NA,NA,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_NEG 1,Forest_Fire_Recovery,NA,NA,NA
FS-74E,Environmental,Soil,Burn_2000,2018-11-04,40.34851,-111.54983,1655,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_74E,Forest_Fire_Recovery,Set_7,Burn,2000
FS-59N,Environmental,Soil,Burn_2006,2018-09-01,40.15595,-111.54119,1572,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_59N,Forest_Fire_Recovery,Set_5,Burn,2006
FS-53W,Environmental,Soil,NonBurn_2012,2018-09-08,40.11798,-11.33787,1812,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_53W,Forest_Fire_Recovery,Set_4,NonBurn,2012
FS-82N,Environmental,Soil,NonBurn_2000,2018-10-03,40.63437,-111.18636,2176,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_82N,Forest_Fire_Recovery,Set_9,NonBurn,2000
FS-31N,Environmental,Soil,Burn_2007,2018-11-03,39.94178,-111.78222,1700,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_31N,Forest_Fire_Recovery,Set_2,Burn,2007
FS-32E,Environmental,Soil,NonBurn_2007,2018-11-03,39.9417,-111.78191,1706,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_32E,Forest_Fire_Recovery,Set_2,NonBurn,2007
FS-2W,Environmental,Soil,NonBurn_2015,2018-06-30,38.52704,-111.77353,2969,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_2W,Forest_Fire_Recovery,Set_1,NonBurn,2015
FS-NEG2,Environmental,Soil,NA,NA,NA,NA,NA,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_NEG2,Forest_Fire_Recovery,NA,NA,NA
FS-77N,Environmental,Soil,NonBurn_2003,2018-10-24,40.42167,-111.53309,1937,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_77N,Forest_Fire_Recovery,Set_8,NonBurn,2003
FS-59W,Environmental,Soil,Burn_2006,2018-09-01,40.15595,-111.54119,1572,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_59W,Forest_Fire_Recovery,Set_5,Burn,2006
FS-53E,Environmental,Soil,NonBurn_2012,2018-09-08,40.11798,-11.33787,1812,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_53E,Forest_Fire_Recovery,Set_4,NonBurn,2012
FS-82W,Environmental,Soil,NonBurn_2000,2018-10-03,40.63437,-111.18636,2176,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_82W,Forest_Fire_Recovery,Set_9,NonBurn,2000
FS-31E,Environmental,Soil,Burn_2007,2018-11-03,39.94178,-111.78222,1700,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_31E,Forest_Fire_Recovery,Set_2,Burn,2007
FS-32W,Environmental,Soil,NonBurn_2007,2018-11-03,39.9417,-111.78191,1706,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_32W,Forest_Fire_Recovery,Set_2,NonBurn,2007
FS-2N,Environmental,Soil,NonBurn_2015,2018-06-30,38.52704,-111.77353,2969,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_2N,Forest_Fire_Recovery,Set_1,NonBurn,2015
FS-120E,Environmental,Soil,Burn_2015,2018-07-13,41.60692,-111.60789,1644,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_120E,Forest_Fire_Recovery,Set_11,Burn,2015
FS-71W,Environmental,Soil,NonBurn_2003,2018-09-29,40.2859,-111.63174,1660,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_71W,Forest_Fire_Recovery,Set_6,NonBurn,2003
FS-59E,Environmental,Soil,Burn_2006,2018-09-01,40.15595,-111.54119,1572,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_59E,Forest_Fire_Recovery,Set_5,Burn,2006
FS-54N,Environmental,Soil,Burn_2012,2018-09-08,40.1191,-111.33832,1819,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_54N,Forest_Fire_Recovery,Set_4,Burn,2012
FS-82E,Environmental,Soil,NonBurn_2000,2018-10-03,40.63437,-111.18636,2176,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_82E,Forest_Fire_Recovery,Set_9,NonBurn,2000
FS-73N,Environmental,Soil,NonBurn_2000,2018-11-04,40.34813,-111.55259,1653,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_73N,Forest_Fire_Recovery,Set_7,NonBurn,2000
FS-32N,Environmental,Soil,NonBurn_2007,2018-11-03,39.9417,-111.78191,1706,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_32N,Forest_Fire_Recovery,Set_2,NonBurn,2007
FS-1E,Environmental,Soil,Burn_2015,2018-06-30,38.5261,-111.77282,2965,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_1E,Forest_Fire_Recovery,Set_1,Burn,2015
FS-120W,Environmental,Soil,Burn_2015,2018-07-13,41.60692,-111.60789,1644,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_120W,Forest_Fire_Recovery,Set_11,Burn,2015
FS-41W,Environmental,Soil,Burn_2007,2018-09-08,40.01663,-111.49936,1501,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_41W,Forest_Fire_Recovery,Set_3,Burn,2007
FS-60N,Environmental,Soil,NonBurn_2006,2018-09-01,40.15741,-111.53829,1628,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_60N,Forest_Fire_Recovery,Set_5,NonBurn,2006
FS-54W,Environmental,Soil,Burn_2012,2018-09-08,40.1191,-111.33832,1819,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_54W,Forest_Fire_Recovery,Set_4,Burn,2012
FS-81N,Environmental,Soil,Burn_2000,2018-10-03,40.633,-111.18538,2176,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_81N,Forest_Fire_Recovery,Set_9,Burn,2000
FS-72N,Environmental,Soil,Burn_2003,2018-09-29,40.2865,-111.63195,1682,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_72N,Forest_Fire_Recovery,Set_6,Burn,2003
FS-78E,Environmental,Soil,Burn_2003,2018-10-24,40.42356,-111.53493,1922,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_78E,Forest_Fire_Recovery,Set_8,Burn,2003
FS-1W,Environmental,Soil,Burn_2015,2018-06-30,38.5261,-111.77282,2965,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_1W,Forest_Fire_Recovery,Set_1,Burn,2015
FS-120N,Environmental,Soil,Burn_2015,2018-07-13,41.60692,-111.60789,1644,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_120N,Forest_Fire_Recovery,Set_11,Burn,2015
FS-41E,Environmental,Soil,Burn_2007,2018-09-08,40.01663,-111.49936,1501,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_41E,Forest_Fire_Recovery,Set_3,Burn,2007
FS-60W,Environmental,Soil,NonBurn_2006,2018-09-01,40.15741,-111.53829,1628,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_60W,Forest_Fire_Recovery,Set_5,NonBurn,2006
FS-54E,Environmental,Soil,Burn_2012,2018-09-08,40.1191,-111.33832,1819,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_54E,Forest_Fire_Recovery,Set_4,Burn,2012
FS-81W,Environmental,Soil,Burn_2000,2018-10-03,40.633,-111.18538,2176,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_81W,Forest_Fire_Recovery,Set_9,Burn,2000
FS-72W,Environmental,Soil,Burn_2003,2018-09-29,40.2865,-111.63195,1682,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_72W,Forest_Fire_Recovery,Set_6,Burn,2003
FS-73E,Environmental,Soil,NonBurn_2000,2018-11-04,40.34813,-111.55259,1653,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_73E,Forest_Fire_Recovery,Set_7,NonBurn,2000
FS-1N,Environmental,Soil,Burn_2015,2018-06-30,38.5261,-111.77282,2965,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_1N,Forest_Fire_Recovery,Set_1,Burn,2015
FS-119E,Environmental,Soil,NonBurn_2015,2018-07-13,41.60682,-111.60818,1643,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_119E,Forest_Fire_Recovery,Set_11,NonBurn,2015
FS-116E,Environmental,Soil,NonBurn_2006,2018-07-14,41.49117,-111.99463,1483,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_116E,Forest_Fire_Recovery,Set_10,NonBurn,2006
FS-60E,Environmental,Soil,NonBurn_2006,2018-09-01,40.15741,-111.53829,1628,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_60E,Forest_Fire_Recovery,Set_5,NonBurn,2006
FS-116N,Environmental,Soil,NonBurn_2006,2018-07-14,41.49117,-111.99463,1483,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_116N,Forest_Fire_Recovery,Set_10,NonBurn,2006
FS-81E,Environmental,Soil,Burn_2000,2018-10-03,40.633,-111.18538,2176,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_81E,Forest_Fire_Recovery,Set_9,Burn,2000
FS-72E,Environmental,Soil,Burn_2003,2018-09-29,40.2865,-111.63195,1682,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_72E,Forest_Fire_Recovery,Set_6,Burn,2003
FS-77E,Environmental,Soil,NonBurn_2003,2018-10-24,40.42167,-111.53309,1937,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_77E,Forest_Fire_Recovery,Set_8,NonBurn,2003
FS-74N,Environmental,Soil,Burn_2000,2018-11-04,40.34851,-111.54983,1655,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_74N,Forest_Fire_Recovery,Set_7,Burn,2000
FS-119W,Environmental,Soil,NonBurn_2015,2018-07-13,41.60682,-111.60818,1643,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_119W,Forest_Fire_Recovery,Set_11,NonBurn,2015
FS-115N,Environmental,Soil,Burn_2006,2018-07-14,41.48998,-111.99606,1483,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_115N,Forest_Fire_Recovery,Set_10,Burn,2006
FS-42W,Environmental,Soil,NonBurn_2007,2018-06-10,40.01859,-111.49832,1520,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_42W,Forest_Fire_Recovery,Set_3,NonBurn,2007
FS-116W,Environmental,Soil,NonBurn_2006,2018-07-14,41.49117,-111.99463,1483,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_116W,Forest_Fire_Recovery,Set_10,NonBurn,2006
FS-41N,Environmental,Soil,Burn_2007,2018-09-08,40.01663,-111.49936,1501,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_41N,Forest_Fire_Recovery,Set_3,Burn,2007
FS-71N,Environmental,Soil,NonBurn_2003,2018-09-29,40.2859,-111.63174,1660,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_71N,Forest_Fire_Recovery,Set_6,NonBurn,2003
FS-77W,Environmental,Soil,NonBurn_2003,2018-10-24,40.42167,-111.53309,1937,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_77W,Forest_Fire_Recovery,Set_8,NonBurn,2003
FS-74W,Environmental,Soil,Burn_2000,2018-11-04,40.34851,-111.54983,1655,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_74W,Forest_Fire_Recovery,Set_7,Burn,2000
FS-119N,Environmental,Soil,NonBurn_2015,2018-07-13,41.60682,-111.60818,1643,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_119N,Forest_Fire_Recovery,Set_11,NonBurn,2015
FS-115W,Environmental,Soil,Burn_2006,2018-07-14,41.48998,-111.99606,1483,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_115W,Forest_Fire_Recovery,Set_10,Burn,2006
FS-42E,Environmental,Soil,NonBurn_2007,2018-06-10,40.01859,-111.49832,1520,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_42E,Forest_Fire_Recovery,Set_3,NonBurn,2007
Fungal-POS,Cultured Isolate,Endophyte,FruitingBody_Agaricus,2018-02-01,NA,NA,NA,MPBio FastDNA Kit,Geoff Zahn,Woolsey_Wet_Prairie_Fungal_POS,Woolsey_Wet_Prairie,NA,NA,NA
