Unique ID,Fire Site,Date collected ,Family ,Tribe,Genus ,species,variety,subspecies,infraspecific hybrid,Synonym (old name or name change) ,native status,notes
1603_in,1,6/30/2018,Fabaceae,,Lupinus,argenteus ,utahensis,,,,native ,
1603_in,1,6/30/2018,Poaceae,Stipeae,Achnatherum,,,,,,native ,
1603_in,1,6/30/2018,Poaceae,,Koleria,,,,,,native ,
1603_in,1,6/30/2018,Poaceae,,Achnatherum,,,,,,native ,
1603_out,2,6/30/2018,Asteraceae,,Achillea ,millefolium,,,,,native ,
1603_out,2,6/30/2018,Asteraceae,,Agoseris ,glauca,,,,,native ,
1603_out,2,6/30/2018,Asteraceae,,Cirsium,,,,,,unknown,
239_in,41,9/8/2018,Asteraceae,,Symphyotrichum ,ascendens,,,,Aster ascendens,native ,
239_in,41,9/8/2019,Dicotyledon,,NA,,,,,,unknown,
239_in,41,9/8/2018,Asteraceae,,Ericameria ,obovata,,,,,native ,
239_in,41,9/8/2018,Fabaceae,,Medicago,,,,,,exotic,possibly Medicago sativa  alfalfa. No 
239_in,41,9/9/2018,Asteraceae,,Symphyotrichum,,,,x amethystinum,,native ,possibly new distirbution documentation 
239_in,41,9/8/2018,Fabaceae,,Melilotus,offinalis,,,,,exotic,
239_in,41,9/8/2018,Poaceae,,Bromus,inermis,,,,,exotic,
239_in,41,9/8/2018,Poaceae,Poeae,NA,,,,,,unknown,
239_out,42,6/10/2018,Poaceae,,Bromus,tectorum,,,,,exotic,
239_out,42,6/10/2018,Asteraceae,,Ericameria ,obovata,,,,,native ,
679_out,53,9/8/2018,Fabaceae,,Medicago,,,,,,exotic,
679_out,53,9/8/2018,Berberidaceae ,,Berberis ,repens,,,,Mahonia repens,native ,name unresolved 
679_out,53,9/8/2018,Asteraceae,,NA,,,,,,unknown,
679_out,53,9/8/2018,Asteraceae,,Cirsium,,,,,,unknown,
679_out,53,9/8/2018,Caprifoliaceae,,Symphoricarpos,,,,,,native ,
679_out,53,9/8/2018,Fabaceae,,Melilotus,offinalis,,,,,exotic,
679_out,53,9/8/2018,Poaceae,,Dactylis,glomerata,,,,,exotic,
679_out,53,9/8/2018,Poaceae,,Agrostis,stolonifera,,,,,unknown,
679_in,54,9/8/2018,Fabaceae,,Melilotus,offinalis,,,,,exotic,
679_in,54,9/8/2018,Equisetaceae,,Equisetum ,laevigatum,,,,,native ,
679_in,54,9/8/2018,Asteraceae,,Taraxacum ,officinale,,,,,exotic,
679_in,54,9/8/2018,Asteraceae,,Sonchus ,oleraceus ,,,,,exotic,
679_in,54,9/8/2018,Scrophulariaceae,,Verbascum ,thapsus,,,,,exotic,
679_in,54,9/8/2018,Poaceae,,Agrostis,stolonifera,,,,,unknown,
679_in,54,9/8/2018,Asteraceae,,Tragopogon,dubius,,,,,exotic,
895_in,59,9/1/2018,Amaranthaceae,,Neokochia ,americana,,,,Kockia americana,native ,
895_in,59,9/1/2018,Poaceae,,Bromus,tectorum,,,,,exotic,
895_in,59,9/1/2018,Poaceae,Poeae,NA,,,,,,unknown,
895_out,60,0/1/2018,Asteraceae,,Tragopogon,,,,,,exotic,
895_out,60,9/1/2018,Salicaceae,,Salix,,,,,,native ,
895_out,60,9/1/2018,Poaceae,,Poa,bulbosa,,,,,exotic,
895_out,60,9/1/2018,Poaceae,,Pseudoroegneria ,spicata,,,,,native ,
883_out,71,9/29/2018,Asteraceae,,Artemisia ,cana,,,,,native ,
883_out,71,9/29/2018,Plantaginaceae,,Penstemon,sepalulus ,,,,Scrophulariaceae ,native ,
883_out,71,9/29/2018,Poaceae,,Bromus,vulgaris,,,,,native ,
883_out,71,9/29/2018,Poaceae,,Bromus,tectorum,,,,,exotic,This collection has smut infection 
883_in,72,9/29/2018,Berberidaceae ,,Berberis ,repens,,,,Mahonia repens,native ,name unresolved 
883_in,72,9/29/2018,Poaceae,,Bromus,vulgaris,,,,,native ,
1452_in,81,10/3/2018,Asteraceae,,Artemisia ,tridentata,,,,,native ,
1452_in,81,10/3/2018,Asteraceae,,Ericameria ,nauseosa,,,,,native ,
1452_in,81,6/3/2019,Caprifoliaceae,,Symphoricarpos,,,,,,native ,
1452_in,81,6/3/2019,Bryaceae,,Bryum,,,,,moss,native ,
1452_in,81,10/3/2018,Asteraceae,,Symphyotrichum,,,,x amethystinum,,native ,possibly new distirbution documentation 
1452_in,81,10/3/2018,Poaceae,Bromeae,,,,,,,unknown,
1452_out,82,10/3/2018,Berberidaceae ,,Berberis ,repens,,,,Mahonia repens,native ,name unresolved  you may see it in literature under synonym (means taxonomists are still duking it out) 
1452_out,82,10/3/2018,Rosaceae,,Purshia ,tridentata,,,,,native ,
1452_out,82,10/3/2018,Asteraceae,,NA,,,,,,unknown,
1452_out,82,10/3/2018,Poaceae,,Bromus,,,,,,exotic,This collection has smut infection 
1452_out,82,10/3/2018,Poaceae,,Agrostis,stolonifera,,,,,unknown,
704_in,115,7/14/2018,Poaceae,,Poa,bulbosa,,,,,exotic,
704_in,115,7/14/2018,Poaceae,,Bromus,commutatus,,,,,exotic,
704_in,115,7/14/2018,Poaceae,,Bromus,briziformis,,,,,exotic,
704_out,116,7/14/2018,Poaceae,,Sporobolus ,cryptandrus,,,,,native ,
704_out,116,7/14/2018,Poaceae,Cynodonteae,NA,,,,,,unknown,
704_out,116,7/14/2018,Fabaceae,,,,,,,,unknown,
1628_out,119,7/13/2018,Poaceae,,Thinopyrum,intermedium,,,,,exotic,
1628_in,120,7/13/2018,Pottiaceae,,NA,,,,,unknown 1,native ,
1628_in,120,7/13/2018,Poaceae,,Thinopyrum,intermedium,,,,,exotic,
384_out,121,7/14/2018,Pottiaceae,,NA,,,,,unknown 2 ,native ,
1459_out,73,11/4/2018,Berberidaceae,,,Mahonia repens,,,,,,
1459_out,73,11/4/2018,Cyperaceae,,Carex,,,,,,,
1459_in,74,11/4/2018,Cornaceae,,NA,Cornus sericea,,,,,,
1459_in,74,11/4/2018,Moss species*,,NA,,,,,,,
1459_in,74,11/4/2018,Poaceae,Poeae,NA,,,,,,,
254_in,31,11/3/2018,Poaceae,,Elymus,Elymus trachycaulus,,,,,,
254_out,32,11/3/2018,Berberidaceae,,NA,Mahonia repens,,,,,,
254_out,32,11/3/2018,Polemoniaceae,,NA,,,,,,,
254_out,32,11/3/2018,Poaceae,,NA,,,,,,,
874_out,77,10/24/2018,Sapindaceae,,Acer,Acer grandidentatum,,,,,,
874_out,77,10/24/2018,Rosaceae,,NA,Amelanchier alnifolia,,,,,,
874_out,77,10/24/2018,Asteraceae,,Tragopogon,Tragopogon dubius,,,,,,
874_in,78,10/24/2018,Asteraceae,,Tragopogon,Tragopogon dubius,,,,,,
874_in,78,10/24/2018,Poaceae,,NA,Bromus tectorum,,,,,,
874_in,78,10/24/2018,Asteraceae,,NA,Artemisia tridentata,,,,,,
46_out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
